# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 8.77121 h/Mpc,
# number of wavenumbers equal to 546
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.578443839380e-03       1.993209527126e+04 
       7.706277367195e-03       2.010775995133e+04 
       7.834191647523e-03       2.027964308577e+04 
       7.962183510688e-03       2.044776930514e+04 
       8.090249993374e-03       2.061219623951e+04 
       8.218388323908e-03       2.077295953431e+04 
       8.346595908785e-03       2.093008728745e+04 
       8.474870320347e-03       2.108365010571e+04 
       8.603209285481e-03       2.123367573042e+04 
       8.731610675253e-03       2.138020073675e+04 
       8.860072495387e-03       2.152327203623e+04 
       8.988592877524e-03       2.166292114676e+04 
       9.117170071166e-03       2.179919842184e+04 
       9.245802436271e-03       2.193213938533e+04 
       9.374488436424e-03       2.206178541876e+04 
       9.503226632536e-03       2.218817637806e+04 
       9.632015677038e-03       2.231134737363e+04 
       9.760854308503e-03       2.243133600379e+04 
       9.889741346691e-03       2.254818808191e+04 
       1.001867568796e-02       2.266192537098e+04 
       1.014765630100e-02       2.277259866131e+04 
       1.027668222292e-02       2.288024191900e+04 
       1.040575255559e-02       2.298488580839e+04 
       1.053486646227e-02       2.308657630566e+04 
       1.066402316444e-02       2.318534141674e+04 
       1.079322193894e-02       2.328121862362e+04 
       1.092246211522e-02       2.337424543625e+04 
       1.105174307285e-02       2.346445773268e+04 
       1.118106423920e-02       2.355187250450e+04 
       1.131042508723e-02       2.363655959509e+04 
       1.143982513352e-02       2.371852683035e+04 
       1.156926393637e-02       2.379781925459e+04 
       1.169874109404e-02       2.387445599236e+04 
       1.182825624318e-02       2.394848167611e+04 
       1.195780905728e-02       2.401994035189e+04 
       1.208739924525e-02       2.408884515786e+04 
       1.221702655018e-02       2.415523355370e+04 
       1.234669074807e-02       2.421914208408e+04 
       1.247639164673e-02       2.428059180205e+04 
       1.260612908473e-02       2.433962852268e+04 
       1.273590293043e-02       2.439627608226e+04 
       1.286571308106e-02       2.445056640808e+04 
       1.299555946191e-02       2.450253037407e+04 
       1.312544202555e-02       2.455220105554e+04 
       1.325536075111e-02       2.459959833765e+04 
       1.338531564362e-02       2.464477702991e+04 
       1.351530673340e-02       2.468773552635e+04 
       1.364533407550e-02       2.472851892997e+04 
       1.377539774920e-02       2.476715100846e+04 
       1.390549785752e-02       2.480366450088e+04 
       1.403563452678e-02       2.483808057021e+04 
       1.416580790625e-02       2.487042475821e+04 
       1.429601816775e-02       2.490073129377e+04 
       1.442626550538e-02       2.492902947096e+04 
       1.455655013517e-02       2.495533011686e+04 
       1.468687229490e-02       2.497967597185e+04 
       1.481723224380e-02       2.500207675897e+04 
       1.494763026242e-02       2.502257539362e+04 
       1.507806665244e-02       2.504119210981e+04 
       1.520854173650e-02       2.505794975934e+04 
       1.533905585813e-02       2.507286164620e+04 
       1.546960938166e-02       2.508597562445e+04 
       1.560020269211e-02       2.509730361166e+04 
       1.573083619518e-02       2.510686970255e+04 
       1.586151031723e-02       2.511470938231e+04 
       1.599222550526e-02       2.512082006794e+04 
       1.612298222697e-02       2.512525422695e+04 
       1.625378097073e-02       2.512803214844e+04 
       1.638462224574e-02       2.512914261203e+04 
       1.651550658203e-02       2.512864576049e+04 
       1.664643453057e-02       2.512655941138e+04 
       1.677740666345e-02       2.512289311948e+04 
       1.690842357393e-02       2.511767416640e+04 
       1.703948587665e-02       2.511092489647e+04 
       1.717059420779e-02       2.510267601779e+04 
       1.730174922525e-02       2.509293259372e+04 
       1.743295160886e-02       2.508173797608e+04 
       1.756420206062e-02       2.506909639070e+04 
       1.769550130488e-02       2.505503387625e+04 
       1.782685008870e-02       2.503956541699e+04 
       1.795824918201e-02       2.502272448545e+04 
       1.808969937799e-02       2.500452755076e+04 
       1.822120149331e-02       2.498499146329e+04 
       1.835275636850e-02       2.496414075032e+04 
       1.848436486828e-02       2.494198166812e+04 
       1.861602788189e-02       2.491855230014e+04 
       1.874774632350e-02       2.489386886902e+04 
       1.887952113256e-02       2.486796816788e+04 
       1.901135327425e-02       2.484083352635e+04 
       1.914324373989e-02       2.481251260709e+04 
       1.927519354737e-02       2.478299983111e+04 
       1.940720374161e-02       2.475233764631e+04 
       1.953927539506e-02       2.472052806656e+04 
       1.967140960817e-02       2.468760361391e+04 
       1.980360750994e-02       2.465357681087e+04 
       1.993587025841e-02       2.461848710969e+04 
       2.006819904124e-02       2.458232841209e+04 
       2.020059507628e-02       2.454511490489e+04 
       2.033305961215e-02       2.450688376445e+04 
       2.046559392887e-02       2.446761077699e+04 
       2.059819933848e-02       2.442737735245e+04 
       2.073087718570e-02       2.438619101847e+04 
       2.086362884860e-02       2.434401091544e+04 
       2.099645573930e-02       2.430088660414e+04 
       2.112935930470e-02       2.425687662321e+04 
       2.126234102721e-02       2.421196949884e+04 
       2.139540242552e-02       2.416613293621e+04 
       2.152854505542e-02       2.411945146780e+04 
       2.166177051056e-02       2.407185970081e+04 
       2.179508042336e-02       2.402355061849e+04 
       2.192847646583e-02       2.397438355014e+04 
       2.206196035048e-02       2.392438823135e+04 
       2.219553383128e-02       2.387359938885e+04 
       2.232919870454e-02       2.382204765889e+04 
       2.246295680998e-02       2.376975926854e+04 
       2.259681003169e-02       2.371667388942e+04 
       2.273076029917e-02       2.366293553986e+04 
       2.286480958848e-02       2.360845895547e+04 
       2.299895992324e-02       2.355327591240e+04 
       2.313321337590e-02       2.349737968724e+04 
       2.326757206883e-02       2.344087760389e+04 
       2.340203817558e-02       2.338372991187e+04 
       2.353661392216e-02       2.332586675237e+04 
       2.367130158827e-02       2.326743015279e+04 
       2.380610350874e-02       2.320841090343e+04 
       2.394102207480e-02       2.314868730553e+04 
       2.407605973561e-02       2.308854140699e+04 
       2.421121899967e-02       2.302775869174e+04 
       2.434650243633e-02       2.296640350802e+04 
       2.448191267743e-02       2.290449349191e+04 
       2.461745241882e-02       2.284205640471e+04 
       2.475312442212e-02       2.277914865407e+04 
       2.488893151639e-02       2.271574308766e+04 
       2.502487659991e-02       2.265181689313e+04 
       2.516096264207e-02       2.258739100579e+04 
       2.529719268522e-02       2.252255483092e+04 
       2.543356984663e-02       2.245723183121e+04 
       2.557009732058e-02       2.239147918081e+04 
       2.570677838037e-02       2.232530427961e+04 
       2.584361638056e-02       2.225868123088e+04 
       2.598061475917e-02       2.219172914963e+04 
       2.611777704002e-02       2.212432885820e+04 
       2.625510683509e-02       2.205655795413e+04 
       2.639260784704e-02       2.198841140100e+04 
       2.653028387176e-02       2.191993527270e+04 
       2.666813880099e-02       2.185103840993e+04 
       2.680617662513e-02       2.178187371308e+04 
       2.694440143603e-02       2.171237488776e+04 
       2.708281742995e-02       2.164256979054e+04 
       2.722142891062e-02       2.157241867330e+04 
       2.736024029240e-02       2.150203883091e+04 
       2.749925610352e-02       2.143136451150e+04 
       2.763848098952e-02       2.136037591359e+04 
       2.777791971675e-02       2.128909774516e+04 
       2.791757717599e-02       2.121761228197e+04 
       2.805745838630e-02       2.114588118404e+04 
       2.819756849886e-02       2.107391625026e+04 
       2.833791280112e-02       2.100180655687e+04 
       2.847849672100e-02       2.092940774851e+04 
       2.861932583126e-02       2.085673463609e+04 
       2.876040585411e-02       2.078388665008e+04 
       2.890174266590e-02       2.071094641698e+04 
       2.904334230209e-02       2.063776506964e+04 
       2.918521096234e-02       2.056438834787e+04 
       2.932735501584e-02       2.049088508304e+04 
       2.946978100686e-02       2.041725524435e+04 
       2.961249566051e-02       2.034344156197e+04 
       2.975550588873e-02       2.026946527252e+04 
       2.989881879654e-02       2.019540810578e+04 
       3.004244168855e-02       2.012117809989e+04 
       3.018638207573e-02       2.004684516074e+04 
       3.033064768247e-02       1.997239823184e+04 
       3.047524645398e-02       1.989787883029e+04 
       3.062018656390e-02       1.982323490776e+04 
       3.076547642238e-02       1.974849065360e+04 
       3.091112468442e-02       1.967371815284e+04 
       3.105714025859e-02       1.959884968391e+04 
       3.120353231615e-02       1.952385659332e+04 
       3.135031030061e-02       1.944880620298e+04 
       3.149748393766e-02       1.937378091446e+04 
       3.164506324559e-02       1.929863512571e+04 
       3.179305854619e-02       1.922344624022e+04 
       3.194148047617e-02       1.914827740073e+04 
       3.209033999906e-02       1.907298198823e+04 
       3.223964841776e-02       1.899774836117e+04 
       3.238941738760e-02       1.892243263918e+04 
       3.253965893010e-02       1.884712916371e+04 
       3.269038544739e-02       1.877176611712e+04 
       3.284160973729e-02       1.869642695646e+04 
       3.299334500921e-02       1.862104736240e+04 
       3.314560490080e-02       1.854575505275e+04 
       3.329840349547e-02       1.847039369461e+04 
       3.345175534078e-02       1.839505482150e+04 
       3.360567546786e-02       1.831968089767e+04 
       3.376017941171e-02       1.824443010024e+04 
       3.391528323272e-02       1.816914088777e+04 
       3.407100353922e-02       1.809388659483e+04 
       3.422735751136e-02       1.801863869557e+04 
       3.438436292620e-02       1.794345622268e+04 
       3.454203818419e-02       1.786830004067e+04 
       3.470040233725e-02       1.779317052907e+04 
       3.485947511822e-02       1.771805689226e+04 
       3.501927697224e-02       1.764302356689e+04 
       3.517982908970e-02       1.756800306560e+04 
       3.534115344131e-02       1.749307098264e+04 
       3.550327281510e-02       1.741813359536e+04 
       3.566621085570e-02       1.734331678149e+04 
       3.582999210602e-02       1.726849474335e+04 
       3.599464205136e-02       1.719373178865e+04 
       3.616018716639e-02       1.711900338109e+04 
       3.632665496497e-02       1.704435324894e+04 
       3.649407405320e-02       1.696979998243e+04 
       3.666247418581e-02       1.689526617370e+04 
       3.683188632629e-02       1.682082223246e+04 
       3.700234271088e-02       1.674634515062e+04 
       3.717387691695e-02       1.667200351253e+04 
       3.734652393587e-02       1.659769636812e+04 
       3.752032025097e-02       1.652347351279e+04 
       3.769530392089e-02       1.644930267263e+04 
       3.787151466869e-02       1.637520114801e+04 
       3.804899397748e-02       1.630114204329e+04 
       3.822778519281e-02       1.622711092586e+04 
       3.840793363262e-02       1.615314756190e+04 
       3.858948670541e-02       1.607926995694e+04 
       3.877249403722e-02       1.600544830257e+04 
       3.895700760840e-02       1.593168131706e+04 
       3.914308190094e-02       1.585793474237e+04 
       3.933077405747e-02       1.578427239654e+04 
       3.952014405293e-02       1.571058279061e+04 
       3.971125488021e-02       1.563696012031e+04 
       3.990417275105e-02       1.556343771226e+04 
       4.009896731388e-02       1.548989817819e+04 
       4.029571189012e-02       1.541640899246e+04 
       4.049448373096e-02       1.534294419998e+04 
       4.069536429676e-02       1.526946010556e+04 
       4.089843956138e-02       1.519600268682e+04 
       4.110380034434e-02       1.512261093245e+04 
       4.131154267354e-02       1.504918846295e+04 
       4.152176818235e-02       1.497578563685e+04 
       4.173458454467e-02       1.490232592915e+04 
       4.195010595251e-02       1.482891306668e+04 
       4.216845364108e-02       1.475546358008e+04 
       4.238975646711e-02       1.468197447681e+04 
       4.261415154690e-02       1.460845874045e+04 
       4.284178496153e-02       1.453489882277e+04 
       4.307281253788e-02       1.446128014445e+04 
       4.330740071514e-02       1.438761820703e+04 
       4.354572750826e-02       1.431382910667e+04 
       4.378798358138e-02       1.423999331004e+04 
       4.403437344635e-02       1.416607353485e+04 
       4.428511680406e-02       1.409202597676e+04 
       4.454045004904e-02       1.401782011310e+04 
       4.480062796129e-02       1.394354576614e+04 
       4.506592561363e-02       1.386906311870e+04 
       4.533664052738e-02       1.379438533297e+04 
       4.561309511578e-02       1.371951869776e+04 
       4.589563946101e-02       1.364446426838e+04 
       4.618465448014e-02       1.356912357633e+04 
       4.648055554522e-02       1.349361378073e+04 
       4.678379663626e-02       1.341777501249e+04 
       4.709487512124e-02       1.334160067509e+04 
       4.741433727710e-02       1.326509750949e+04 
       4.774278468959e-02       1.318822193048e+04 
       4.808088169976e-02       1.311090624755e+04 
       4.842936410232e-02       1.303317903531e+04 
       4.878904934729e-02       1.295495922134e+04 
       4.916084855550e-02       1.287615124897e+04 
       4.954578073176e-02       1.279677066640e+04 
       4.994498965325e-02       1.271673523261e+04 
       5.035976402938e-02       1.263593799606e+04 
       5.079156168005e-02       1.255436183576e+04 
       5.124203867190e-02       1.247187459638e+04 
       5.171308459725e-02       1.238838485406e+04 
       5.220686549247e-02       1.230380308174e+04 
       5.272587628721e-02       1.221790680051e+04 
       5.327300517012e-02       1.213061909010e+04 
       5.385161286438e-02       1.204172050949e+04 
       5.446563052827e-02       1.195090546683e+04 
       5.511968080349e-02       1.185796389528e+04 
       5.581922732395e-02       1.176244349069e+04 
       5.657075852001e-02       1.166391118352e+04 
       5.738201125212e-02       1.156172696644e+04 
       5.826223754178e-02       1.145510060842e+04 
       5.922251120933e-02       1.134296716224e+04 
       6.027605646616e-02       1.122388546064e+04 
       6.143855042986e-02       1.109592872158e+04 
       6.272829571713e-02       1.095644529472e+04 
       6.416606666588e-02       1.080179165982e+04 
       6.577430483500e-02       1.062723834843e+04 
       6.757522617579e-02       1.042660824700e+04 
       6.958746293643e-02       1.019259698869e+04 
       7.182138353825e-02       9.917601477390e+03 
       7.427438163755e-02       9.595584703464e+03 
       7.692861429718e-02       9.224600574477e+03 
       7.975334167169e-02       8.809115342075e+03 
       8.271139746556e-02       8.360633067044e+03 
       8.576654114900e-02       7.896116096932e+03 
       8.888843439287e-02       7.434928606930e+03 
       9.205430585191e-02       6.995503478502e+03 
       9.524830915469e-02       6.592908293915e+03 
       9.845996023531e-02       6.237405680620e+03 
       1.016825458712e-01       5.934124629030e+03 
       1.049118553256e-01       5.683435265751e+03 
       1.081452811827e-01       5.481683764591e+03 
       1.113812214910e-01       5.322182406978e+03 
       1.146186966825e-01       5.196086311626e+03 
       1.178571094144e-01       5.093319892989e+03 
       1.210960959645e-01       5.003523612171e+03 
       1.243354349961e-01       4.916899163408e+03 
       1.275749918086e-01       4.825077187747e+03 
       1.308146843684e-01       4.721860359127e+03 
       1.340544626455e-01       4.603692103151e+03 
       1.372942960570e-01       4.469825933755e+03 
       1.405341658405e-01       4.322104524405e+03 
       1.437740604232e-01       4.164421671587e+03 
       1.470139726102e-01       4.001971903428e+03 
       1.502538978765e-01       3.840434527089e+03 
       1.534938333302e-01       3.685238575023e+03 
       1.567337770813e-01       3.540979471338e+03 
       1.599737278586e-01       3.411018934614e+03 
       1.632136847756e-01       3.297318453137e+03 
       1.664536471878e-01       3.200452691529e+03 
       1.696936146057e-01       3.119701951125e+03 
       1.729335866407e-01       3.053296589935e+03 
       1.761735629721e-01       2.998670609215e+03 
       1.794135433264e-01       2.952733524448e+03 
       1.826535274640e-01       2.912184301733e+03 
       1.858935151711e-01       2.874254737895e+03 
       1.891335062540e-01       2.835840279115e+03 
       1.923735005354e-01       2.794260172126e+03 
       1.956134978519e-01       2.747879088049e+03 
       1.988534980518e-01       2.695982760451e+03 
       2.020935009944e-01       2.638754025760e+03 
       2.053335065479e-01       2.577150161514e+03 
       2.085735145894e-01       2.512691028399e+03 
       2.118135250035e-01       2.447170927364e+03 
       2.150535376820e-01       2.382441424080e+03 
       2.182935525234e-01       2.320137882425e+03 
       2.215335694318e-01       2.261586117654e+03 
       2.247735883173e-01       2.207746748532e+03 
       2.280136090950e-01       2.159171963794e+03 
       2.312536316847e-01       2.116038614556e+03 
       2.344936560108e-01       2.078158329949e+03 
       2.377336820020e-01       2.045015218686e+03 
       2.409737095904e-01       2.015834844460e+03 
       2.442137387122e-01       1.989645620601e+03 
       2.474537693067e-01       1.965393478553e+03 
       2.506938013165e-01       1.942045609677e+03 
       2.539338346870e-01       1.918686536834e+03 
       2.571738693665e-01       1.894600509128e+03 
       2.604139053058e-01       1.869308210643e+03 
       2.636539424582e-01       1.842580481352e+03 
       2.668939807793e-01       1.814421305339e+03 
       2.701340202267e-01       1.785039472342e+03 
       2.733740607601e-01       1.754816902667e+03 
       2.766141023413e-01       1.724243627927e+03 
       2.798541449335e-01       1.693873430059e+03 
       2.830941885019e-01       1.664258541292e+03 
       2.863342330131e-01       1.635884812799e+03 
       2.895742784354e-01       1.609122479396e+03 
       2.928143247383e-01       1.584197836851e+03 
       2.960543718927e-01       1.561181358884e+03 
       2.992944198708e-01       1.540007421860e+03 
       3.025344686461e-01       1.520503323567e+03 
       3.057745181930e-01       1.502418547733e+03 
       3.090145684872e-01       1.485459137102e+03 
       3.122546195053e-01       1.469322002198e+03 
       3.154946712248e-01       1.453698248850e+03 
       3.187347236243e-01       1.438306227526e+03 
       3.219747766831e-01       1.422905268591e+03 
       3.252148303815e-01       1.407321690336e+03 
       3.284548847003e-01       1.391452218439e+03 
       3.316949396214e-01       1.375278139910e+03 
       3.349349951272e-01       1.358852955362e+03 
       3.381750512007e-01       1.342285361655e+03 
       3.414151078258e-01       1.325723056490e+03 
       3.446551649869e-01       1.309316857156e+03 
       3.478952226688e-01       1.293220124043e+03 
       3.511352808571e-01       1.277558472528e+03 
       3.543753395378e-01       1.262441540547e+03 
       3.576153986975e-01       1.247944980273e+03 
       3.608554583233e-01       1.234114570087e+03 
       3.640955184026e-01       1.220956546151e+03 
       3.673355789234e-01       1.208440413008e+03 
       3.705756398740e-01       1.196501214325e+03 
       3.738157012433e-01       1.185049285555e+03 
       3.770557630203e-01       1.173979915367e+03 
       3.802958251947e-01       1.163190571917e+03 
       3.835358877563e-01       1.152591981697e+03 
       3.867759506953e-01       1.142113871490e+03 
       3.900160140023e-01       1.131705439853e+03 
       3.932560776682e-01       1.121337473840e+03 
       3.964961416841e-01       1.110995376644e+03 
       3.997362060415e-01       1.100681920012e+03 
       4.029762707321e-01       1.090411647760e+03 
       4.062163357479e-01       1.080212712629e+03 
       4.094564010812e-01       1.070121292192e+03 
       4.126964667244e-01       1.060180725038e+03 
       4.159365326703e-01       1.050431301278e+03 
       4.191765989118e-01       1.040907185841e+03 
       4.224166654421e-01       1.031626315344e+03 
       4.256567322546e-01       1.022603363986e+03 
       4.288967993429e-01       1.013833880185e+03 
       4.321368667007e-01       1.005312236684e+03 
       4.353769343220e-01       9.970243740997e+02 
       4.386170022010e-01       9.889557807426e+02 
       4.418570703319e-01       9.810893010184e+02 
       4.450971387092e-01       9.734010763491e+02 
       4.483372073276e-01       9.658680485769e+02 
       4.515772761818e-01       9.584624486216e+02 
       4.548173452669e-01       9.511592396254e+02 
       4.580574145778e-01       9.439397894660e+02 
       4.612974841099e-01       9.367940138876e+02 
       4.645375538584e-01       9.297140758606e+02 
       4.677776238188e-01       9.227044429439e+02 
       4.710176939868e-01       9.157655833869e+02 
       4.742577643582e-01       9.089084692763e+02 
       4.774978349286e-01       9.021351622458e+02 
       4.807379056942e-01       8.954539081669e+02 
       4.839779766509e-01       8.888758174912e+02 
       4.872180477950e-01       8.824073930694e+02 
       4.904581191227e-01       8.760604479620e+02 
       4.936981906303e-01       8.698404855992e+02 
       4.969382623145e-01       8.637482934779e+02 
       5.001783341717e-01       8.577828447705e+02 
       5.034184061985e-01       8.519360012669e+02 
       5.066584783917e-01       8.461992187598e+02 
       5.098985507482e-01       8.405609863653e+02 
       5.131386232647e-01       8.350120060922e+02 
       5.163786959384e-01       8.295470186588e+02 
       5.196187687662e-01       8.241568747343e+02 
       5.228588417453e-01       8.188379697982e+02 
       5.260989148729e-01       8.135822341610e+02 
       5.488415966697e-01       7.783580252058e+02 
       5.738147365394e-01       7.433883197259e+02 
       6.016103987712e-01       7.084956574296e+02 
       6.330984571748e-01       6.729322552768e+02 
       6.696215108184e-01       6.363373007694e+02 
       7.133817401109e-01       5.977203139941e+02 
       7.682711019258e-01       5.557611793070e+02 
       8.417910505529e-01       5.081861986676e+02 
       9.495424846739e-01       4.513379470881e+02 
       1.122274439640e+00       3.812474760267e+02 
       1.391291207044e+00       3.027029461695e+02 
       1.750103138830e+00       2.304624165363e+02 
       2.203229341536e+00       1.692575913025e+02 
       2.773701354201e+00       1.197070950447e+02 
       3.491883119514e+00       8.171736675023e+01 
       4.396020394171e+00       5.409146937348e+01 
       5.534261784987e+00       3.489815135581e+01 
       6.967222796641e+00       2.205453407773e+01 
       8.771213828324e+00       1.371325839620e+01 
